#变体	本体	本体词词频（可省略）
兴高彩列	兴高采烈	100
吹唐人	吹糖人	100
百年家具	百年家居
筹画	筹划
筹马	筹码
踌蹰	踌躇
出谋画策	出谋划策
喘嘘嘘	喘吁吁
磁器	瓷器
赐与	赐予
粗卤	粗鲁
搭当	搭档
搭挡	搭档
搭赸	搭讪
答讪	搭讪
答覆	答复
带孝	戴孝
耽心	担心
耽忧	担忧
担搁	耽搁
澹泊	淡泊
澹然	淡然
倒楣	倒霉
低徊	低回
雕敝	凋敝
雕弊	凋敝
雕零	凋零
雕落	凋落
雕谢	凋谢
跌荡	跌宕
跌交	跌跤
蹀血	喋血
丁宁	叮咛
定单	订单
定户	订户
定婚	订婚
定货	订货
定阅	订阅
枓拱	斗拱
枓栱	斗拱
逗遛	逗留
斗趣儿	逗趣儿
独脚戏	独角戏
端五	端午
二簧	二黄
贰心	二心
发人深醒	发人深省
蕃衍	繁衍
分付	吩咐
份量	分量
份内	分内
份外	分外
忿忿	愤愤
丰富多采	丰富多彩
疯瘫	风瘫
疯颠	疯癫
锋铓	锋芒
伏侍	服侍
服事	服侍
伏输	服输
伏罪	服罪
负嵎顽抗	负隅顽抗
傅会	附会
覆信	复信
复辙	覆辙
干与	干预
告戒	告诫
梗直	耿直
鲠直	耿直
恭惟	恭维
勾划	勾画
勾联	勾连
孤苦零丁	孤苦伶仃
孤负	辜负
骨董	古董
股分	股份
骨瘦如豺	骨瘦如柴
关连	关联
光采	光彩
归根结柢	归根结底
规戒	规诫
鬼哭狼嗥	鬼哭狼嚎
过份	过分
虾蟆	蛤蟆
含胡	含糊
涵蓄	含蓄
寒伧	寒碜
喝采	喝彩
喝倒采	喝倒彩
哄动	轰动
宏扬	弘扬
红通通	红彤彤
弘论	宏论
弘图	宏图
鸿图	宏图
弘愿	宏愿
弘旨	宏旨
鸿福	洪福
胡臭	狐臭
胡蝶	蝴蝶
胡涂	糊涂
虎魄	琥珀
花着	花招
豁拳	划拳
搳拳	划拳
恍忽	恍惚
晖映	辉映
混水摸鱼	浑水摸鱼
火伴	伙伴
机伶	机灵
激忿	激愤
计画	计划
记念	纪念
寄与	寄予
茄克	夹克
佳宾	嘉宾
驾御	驾驭
架式	架势
嫁装	嫁妆
简炼	简练
骄奢淫佚	骄奢淫逸
脚门	角门
狡滑	狡猾
脚根	脚跟
叫化子	叫花子
精采	精彩
鸠合	纠合
鸠集	纠集
就坐	就座
脚色	角色
刻期	克期
刻日	克日
刻划	刻画
阔老	阔佬
蓝缕	褴褛
烂缦	烂漫
烂熳	烂漫
狼籍	狼藉
狼头	榔头
累坠	累赘
黎黑	黧黑
联贯	连贯
联接	连接
联绵	连绵
联缀	连缀
连结	联结
连袂	联袂
连翩	联翩
踉蹡	踉跄
嘹喨	嘹亮
撩乱	缭乱
零丁	伶仃
囹圉	囹圄
蹓跶	溜达
留连	流连
喽罗	喽啰
卤莽	鲁莽
录象	录像
录相	录像
落腮胡子	络腮胡子
落漠	落寞
落莫	落寞
痲痹	麻痹
痲风	麻风
痲疹	麻疹
蚂蜂	马蜂
马糊	马虎
门坎	门槛
糜费	靡费
绵联	绵连
摹仿	模仿
模胡	模糊
摹拟	模拟
模写	摹写
磨擦	摩擦
磨拳擦掌	摩拳擦掌
魔难	磨难
眽眽	脉脉
谋画	谋划
那末	那么
内哄	内讧
凝炼	凝练
牛崽裤	牛仔裤
钮扣	纽扣
掱手	扒手
蟠根错节	盘根错节
盘据	盘踞
蟠踞	盘踞
蟠据	盘踞
蟠曲	盘曲
盘陁	盘陀
盘石	磐石
蟠石	磐石
盘跚	蹒跚
旁皇	彷徨
披星带月	披星戴月
疲塌	疲沓
飘泊	漂泊
飘流	漂流
漂零	飘零
飘飖	飘摇
平空	凭空
牵联	牵连
蕉萃	憔悴
清彻	清澈
情素	情愫
惓惓	拳拳
劝戒	劝诫
热呼呼	热乎乎
热呼	热乎
热中	热衷
人材	人才
日蚀	日食
入坐	入座
色采	色彩
杀一警百	杀一儆百
沙鱼	鲨鱼
山查	山楂
舢舨	舢板
梢公	艄公
奢糜	奢靡
伸雪	申雪
神彩	神采
湿渌渌	湿漉漉
十锦	什锦
收伏	收服
首坐	首座
书柬	书简
思惟	思维
死心踏地	死心塌地
塌实	踏实
菾菜	甜菜
挺而走险	铤而走险
透澈	透彻
图象	图像
推委	推诿
玩艺儿	玩意儿
委过	诿过
污七八糟	乌七八糟
无动于中	无动于衷
无宁	毋宁
无庸	毋庸
五采缤纷	五彩缤纷
五痨七伤	五劳七伤
瘜肉	息肉
希罕	稀罕
希奇	稀奇
希少	稀少
希世	稀世
希有	稀有
噏动	翕动
洗炼	洗练
贤慧	贤惠
香纯	香醇
香菰	香菇
像貌	相貌
萧洒	潇洒
小题大作	小题大做
卸傤	卸载
信口开合	信口开河
惺松	惺忪
秀外惠中	秀外慧中
叙文	序文
叙言	序言
训戒	训诫
压伏	压服
压韵	押韵
雅片	鸦片
洋琴	扬琴
要末	要么
夜消	夜宵
一槌定音	一锤定音
一古脑儿	一股脑儿
衣衿	衣襟
衣著	衣着
义无返顾	义无反顾
霪雨	淫雨
赢余	盈余
影象	影像
余辉	余晖
鱼具	渔具
鱼网	渔网
预会	与会
预闻	与闻
御手	驭手
豫备	预备
元来	原来
元煤	原煤
源源本本	原原本本
元元本本	原原本本
原故	缘故
原由	缘由
月蚀	月食
月芽	月牙
云豆	芸豆
杂遝	杂沓
再接再砺	再接再厉
斩新	崭新
展转	辗转
颤栗	战栗
帐本	账本
折衷	折中
这末	这么
正经八摆	正经八百
脂麻	芝麻
支解	肢解
枝解	肢解
直捷了当	直截了当
直接了当	直截了当
指手划脚	指手画脚
赒济	周济
转游	转悠
装璜	装潢
姿式	姿势
子细	仔细
自各儿	自个儿
左证	佐证
安份守己	安分守己
暗度陈仓	暗渡陈仓
把势	把式
班配	般配
棒锤	棒槌
棒棰	棒槌
暴光	曝光
报导	报道
悲忿	悲愤
背理	悖理
比画	比划
笔心	笔芯
荜路蓝缕	筚路蓝缕
辨白	辩白
辩辞	辩词
波浪鼓	拨浪鼓
泼浪鼓	拨浪鼓
部份	部分
菜子	菜籽
仓惶	仓皇
仓黄	仓皇
仓遑	仓皇
策画	策划
常年累月	长年累月
唱工	唱功
潮呼呼	潮乎乎
潮忽忽	潮乎乎
撤消	撤销
承上起下	承上启下
吃里扒外	吃里爬外
踟躇	踟蹰
串连	串联
辞汇	词汇
词令	辞令
搭拉	耷拉
答理	搭理
哒哒	嗒嗒
搭裢	褡裢
搭连	褡裢
褡连	褡裢
褡联	褡裢
打冷颤	打冷战
大放厥辞	大放厥词
铛铛	当当
当做	当作
捣腾	倒腾
悼辞	悼词
得意扬扬	得意洋洋
灯心	灯芯
滴里嘟噜	嘀里嘟噜
掉包	调包
钉梢	盯梢
丢三拉四	丢三落四
掉换	调换
东不拉	冬不拉
遁辞	遁词
哆唆	哆嗦
峨嵋山	峨眉山
发楞	发愣
翻然醒悟	幡然醒悟
反覆	反复
忿恨	愤恨
忿怒	愤怒
夫倡妇随	夫唱妇随
浮图	浮屠
辐凑	辐辏
福份	福分
俯首贴耳	俯首帖耳
赋与	赋予
夹肢窝	胳肢窝
干嘛	干吗
格登	咯噔
根柢	根底
梗咽	哽咽
宫庭	宫廷
钩勒	勾勒
勾针	钩针
够戗	够呛
孤另另	孤零零
孤伶伶	孤零零
轱轳	轱辘
毂辘	轱辘
固步自封	故步自封
故技	故伎
锢疾	痼疾
固疾	痼疾
刮刮叫	呱呱叫
呵腰	哈腰
寒颤	寒战
嚎啕	号啕
号咷	号啕
嚎咷	号啕
好高务远	好高骛远
和事老	和事佬
贺辞	贺词
黑鼓隆咚	黑咕隆咚
黑古龙冬	黑咕隆咚
黑鸦鸦	黑压压
轰堂大笑	哄堂大笑
轰笑	哄笑
宏亮	洪亮
呼嗤	呼哧
呼蚩	呼哧
呼吃	呼哧
花狸狐哨	花里胡哨
花梢	花哨
花稍	花哨
花消	花销
黄历	皇历
混身	浑身
浑沌	混沌
辑逸	辑佚
给与	给予
记录片	纪录片
记要	纪要
趼子	茧子
交待	交代
脚鸭子	脚丫子
脚指	脚趾
叫真	较真
菁华	精华
警省	警醒
酒钟	酒盅
倔犟	倔强
开消	开销
砍大山	侃大山
看做	看作
夸大其辞	夸大其词
宽洪大量	宽宏大量
老趼	老茧
乐和和	乐呵呵
乐孜孜	乐滋滋
利害lìhai	厉害
伶牙利齿	伶牙俐齿
流言飞语	流言蜚语
蹓弯儿	遛弯儿
乱烘烘	乱哄哄
罗纹	螺纹
慢道	漫道
慢说	漫说
毛骨耸然	毛骨悚然
毛骨竦然	毛骨悚然
冒然	贸然
棉子	棉籽
藐小	渺小
渺视	藐视
渺远	邈远
溟溟	冥冥
摸棱两可	模棱两可
秣马利兵	秣马厉兵
秣马砺兵	秣马厉兵
木犀	木樨
闹轰轰	闹哄哄
闹烘烘	闹哄哄
粘稠	黏稠
粘糊	黏糊
粘土	黏土
粘性	黏性
粘液	黏液
念道	念叨
暖呼呼	暖乎乎
扒犁	爬犁
判辞	判词
皮簧	皮黄
慓悍	剽悍
飘渺	缥缈
漂渺	缥缈
飘眇	缥缈
飘邈	缥缈
凭白无故	平白无故
匍伏	匍匐
起程	启程
启锚	起锚
起迄	起讫
气门心	气门芯
牵就	迁就
遣辞	遣词
枪枝	枪支
情份	情分
屈伏	屈服
取销	取消
雀瘢	雀斑
热剌剌	热辣辣
如雷灌耳	如雷贯耳
散逸	散佚
沙锅	砂锅
沙壶	砂壶
沙浆	砂浆
沙糖	砂糖
杀风景	煞风景
杀尾	煞尾
刹时	霎时
山颠	山巅
扇风点火	煽风点火
闪烁其辞	闪烁其词
上方宝剑	尚方宝剑
深醒	深省
甚么	什么
神甫	神父
省分	省份
拾遗补阙	拾遗补缺
士女画	仕女画
视阈	视域
誓辞	誓词
授与	授予
摔交	摔跤
水份	水分
水长船高	水涨船高
思辩	思辨
死气白赖	死乞白赖
宿愿	夙愿
夙来	素来
夙敌	宿敌
夙儒	宿儒
夙怨	宿怨
梯己tīji	体己
题辞	题词
俶傥	倜傥
瞳人	瞳仁
产玲	产龄
退色	褪色
托咐	托付
顽耍	玩耍
玩皮	顽皮
惟独	唯独
惟恐	唯恐
惟利是图	唯利是图
惟命是从	唯命是从
惟其	唯其
惟我独尊	唯我独尊
惟一	唯一
惟有	唯有
萎顿	委顿
委宛	委婉
委罪	诿罪
委靡	萎靡
委谢	萎谢
文彩	文采
无精打彩	无精打采
无尚	无上
欷歔	唏嘘
喜孜孜	喜滋滋
陷井	陷阱
项练	项链
销歇	消歇
消魂	销魂
兴高彩烈	兴高采烈
雄纠纠	雄赳赳
旋涡	漩涡
薰陶	熏陶
丫鬟	丫环
压宝	押宝
哑吧	哑巴
哑叭	哑巴
言不由中	言不由衷
一倡百和	一唱百和
一蹋糊涂	一塌糊涂
一榻糊涂	一塌糊涂
一相情愿	一厢情愿
引伸	引申
硬梆梆	硬邦邦
硬帮帮	硬邦邦
渔汛	鱼汛
鱼鼓	渔鼓
约莫	约摸
殒落	陨落
在坐	在座
糟踏	糟蹋
糟塌	糟蹋
张惶	张皇
照像	照相
珍羞	珍馐
真象	真相
枝梧	支吾
枝捂	支吾
装聋做哑	装聋作哑
妆束	装束
装做	装作
子畜	仔畜
子猪	仔猪
子粒	籽粒
子棉	籽棉
子实	籽实
走露	走漏
做弊	作弊
做美	作美
做弄	作弄
做声	作声
做秀	作秀
座落	坐落
坐次	座次
坐位	座位
旁证博引 旁征博引
谈笑风声 谈笑风生
美仑美幻 美轮美奂
坐阵 坐镇
不径而走 不胫而走
飘亮  漂亮
青纯  清纯
体晾 体谅
发杨广大 发扬光大
浪废水 浪费水
通货膨涨 通货膨胀
迫不急待 迫不及待
堵注  赌注
深井网络 神经网络
飞势    飞逝
甘败下风    甘拜下风
重迭    重叠
渡假    度假
一股作气    一鼓作气
悬梁刺骨    悬梁刺股
粗旷    粗犷
挖墙角  挖墙脚
痉孪    痉挛
罗嗦    啰嗦
罗唆    啰唆
出奇不意    出其不意
入场卷  入场券
藉贯    籍贯

